langname,level,gcode,gcode_rule,ref_name,concept,domain,basic,combo_name,word_list,source,sign,reference,url,scholarly,page,comments
Boholano,single,cebu1242,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Beer, B. (2014). Boholano olfaction: Odor terms, categories, and discourses. The Senses and Society, 9(2), 151-173.",https://www.researchgate.net/profile/Bettina-Beer/publication/262581816_Boholano_Olfaction_Odor_Terms_Categories_and_Discourses/links/54afae8e0cf2b48e8ed68164/Boholano-Olfaction-Odor-Terms-Categories-and-Discourses.pdf,1,NA,NA
Japanese,single,nucl1643,NA,NA,obligation,noun,1,obligationcombo,"obligation, duty, responsibility",wordnet,positive,"Benedict, R. (2005). The chrysanthemum and the sword: Patterns of Japanese culture. Houghton Mifflin Harcourt.","https://books.google.com/books?hl=en&lr=&id=R7NpvfYsmU0C&oi=fnd&pg=PR6&dq=benedict,+the+chrysanthemum+and+the+sword&ots=TfoJqfVv-t&sig=RB75g9YXDAWvCGVGggnZd0yaZCM",1,99,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Mandarin,single,mand1415,NA,NA,obligation,noun,1,obligationcombo,"obligation, duty, responsibility",wordnet,positive,"Benedict, R. (2005). The chrysanthemum and the sword: Patterns of Japanese culture. Houghton Mifflin Harcourt.","https://books.google.com/books?hl=en&lr=&id=R7NpvfYsmU0C&oi=fnd&pg=PR6&dq=benedict,+the+chrysanthemum+and+the+sword&ots=TfoJqfVv-t&sig=RB75g9YXDAWvCGVGggnZd0yaZCM",1,99,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Tarok,single,taro1263,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Blench, R. (2010). The sensory world: ideophones in Africa and elsewhere. Perception of the invisible: Religion, historical semantics and the role of perceptive verbs, Sprache und Geschichte in Afrika, 275-296.",http://www.rogerblench.info/Language/Africa/General/Blench%20African%20Ideophones.pdf,1,NA,NA
Afar,single,afar1241,NA,NA,camel,noun,1,camelcombo,camel,wordnet,positive,"Bliese, L. F. (1970). The Lexicon-a key to culture; with illustrations from Afar word lists. Journal of Ethiopian studies, 8(2), 1-19.",http://www.jstor.org/stable/41965807,1,NA,NA
Afar,single,afar1241,NA,NA,cattle,noun,1,cattlecombo,"cattle, cow, ox, kine, oxen",wordnet,positive,"Bliese, L. F. (1970). The Lexicon-a key to culture; with illustrations from Afar word lists. Journal of Ethiopian studies, 8(2), 1-19.",http://www.jstor.org/stable/41965807,1,NA,NA
Afar,single,afar1241,NA,NA,goat,noun,1,goatcombo,goat,wordnet,positive,"Bliese, L. F. (1970). The Lexicon-a key to culture; with illustrations from Afar word lists. Journal of Ethiopian studies, 8(2), 1-19.",http://www.jstor.org/stable/41965807,1,NA,NA
Afar,single,afar1241,NA,NA,ornament,noun,1,ornamentcombo,"decoration, ornament, ornamentation",wordnet,positive,"Bliese, L. F. (1970). The Lexicon-a key to culture; with illustrations from Afar word lists. Journal of Ethiopian studies, 8(2), 1-19.",http://www.jstor.org/stable/41965807,1,NA,NA
Afar,single,afar1241,NA,NA,"man, person",noun,1,personcombo,"man, person, men, people",wordnet,positive,"Bliese, L. F. (1970). The Lexicon-a key to culture; with illustrations from Afar word lists. Journal of Ethiopian studies, 8(2), 1-19.",http://www.jstor.org/stable/41965807,1,NA,NA
Afar,single,afar1241,NA,NA,sheep,noun,1,sheepcombo,sheep,wordnet,positive,"Bliese, L. F. (1970). The Lexicon-a key to culture; with illustrations from Afar word lists. Journal of Ethiopian studies, 8(2), 1-19.",http://www.jstor.org/stable/41965807,1,NA,NA
Afar,single,afar1241,NA,NA,song,noun,1,songcombo,song,wordnet,positive,"Bliese, L. F. (1970). The Lexicon-a key to culture; with illustrations from Afar word lists. Journal of Ethiopian studies, 8(2), 1-19.",http://www.jstor.org/stable/41965807,1,NA,NA
Yanuwa of Carpentaria,single,yany1243,NA,NA,sea turtles,compound,1,seaturtlescombo,NA,NA,positive,"Bradley, J. (2010). Singing saltwater country: journey to the songlines of Carpentaria. Allen & Unwin.",NA,1,216,"Quoted in Kelly, L. (2017). The memory code. Simon and Schuster."
Yanuwa of Carpentaria,single,yany1243,NA,NA,bird,noun,0,birdcombo,bird,wordnet,positive,"Bradley, J. (2010). Singing saltwater country: journey to the songlines of Carpentaria. Allen & Unwin.",NA,1,216,"Quoted in Kelly, L. (2017). The memory code. Simon and Schuster."
Yanuwa of Carpentaria,single,yany1243,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Bradley, J. (2010). Singing saltwater country: journey to the songlines of Carpentaria. Allen & Unwin.",NA,1,216,"Quoted in Kelly, L. (2017). The memory code. Simon and Schuster."
Yanuwa of Carpentaria,single,yany1243,NA,NA,animal,noun,0,animalcombo,NA,NA,positive,"Bradley, J. (2010). Singing saltwater country: journey to the songlines of Carpentaria. Allen & Unwin.",NA,1,216,"Quoted in Kelly, L. (2017). The memory code. Simon and Schuster."
Yanuwa of Carpentaria,single,yany1243,NA,NA,plant,noun,0,plantcombo,NA,historical thesaurus of english,positive,"Bradley, J. (2010). Singing saltwater country: journey to the songlines of Carpentaria. Allen & Unwin.",NA,1,216,"Quoted in Kelly, L. (2017). The memory code. Simon and Schuster."
Yanuwa of Carpentaria,single,yany1243,NA,NA,sharks,noun,1,sharkscombo,shark,wordnet,positive,"Bradley, J. (2010). Singing saltwater country: journey to the songlines of Carpentaria. Allen & Unwin.",NA,1,216,"Quoted in Kelly, L. (2017). The memory code. Simon and Schuster."
Indians of Brazil,group,NA,country_equals_to,Brazil,palm tree,compound,1,palmtreecombo,NA,NA,positive,"Brown, R. (1958). Words and things.",https://pure.mpg.de/rest/items/item_2301235_3/component/file_2301234/content,1,NA,NA
English,single,stan1293,NA,NA,automobile,noun,1,automobilecombo,"car, auto, automobile, motorcar",wordnet,positive,"Brown, R. (1958). Words and things.",https://pure.mpg.de/rest/items/item_2301235_3/component/file_2301234/content,1,NA,NA
Indians of Brazil,group,NA,country_equals_to,Brazil,parrot,noun,1,parrotcombo,parrot,wordnet,positive,"Brown, R. (1958). Words and things.",https://pure.mpg.de/rest/items/item_2301235_3/component/file_2301234/content,1,NA,NA
Saami,group,NA,langname_contains,Saami,snow,noun,1,snowcombo,"snow, snowfall",wordnet,positive,"Brown, R. (1958). Words and things.",https://pure.mpg.de/rest/items/item_2301235_3/component/file_2301234/content,1,NA,NA
Wintu,single,wint1259,NA,NA,cattle,noun,1,cattlecombo,"cattle, cow, ox, kine, oxen",wordnet,positive,"Brown, R. (1958). Words and things.",https://pure.mpg.de/rest/items/item_2301235_3/component/file_2301234/content,1,NA,NA
Jehai,single,jeha1242,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Burenhult, N., & Majid, A. (2011). Olfaction in Aslian ideology and language. The senses and society, 6(1), 19-29.",https://pure.mpg.de/rest/items/item_446251_18/component/file_752550/content,1,NA,NA
Rarotongan,single,raro1241,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Buse, Jasper, and Raututi Taringa. 1996. Cook Islands Maori Dictionary. (Eds. Bruce Biggs and Rangi Moeka’a). Canberra: Cook Islands Ministry of Education.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Zulu,single,zulu1248,NA,NA,woman,noun,1,womancombo,"woman, women",wordnet,positive,"Buthelezi, T. (2004). Lexical reinforcement and maintenance of gender stereotypes in isiZulu. Alternation, 11(2), 386-400.",https://journals.co.za/doi/pdf/10.10520/AJA10231757_354,1,NA,NA
Fijian,group,NA,langname_contains,Fijian,fish,noun,0,fishcombo,fish,wordnet,positive,"Capell, Arthur C. 1941. A New Fijian Dictionary. Suva: Government Printer. Pawley, Andrew, and Timoci Sayaba. 2003. Words of Waya: A dictionary of the Wayan dialect of the Western Fijian language. Printout, pp.1200. Department of Linguistics, Research School of Pacific and Asian Studies.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Rotuman,single,rotu1241,NA,NA,tree,noun,0,treecombo,tree,wordnet,positive,"Churchward, Clerk Maxwell. 1940. Rotuman Grammar and Dictionary. Sydney: Australasian Medical Publishing Co. Inia, Elizabeth, Sofie Arntsen, Hans Schmidt, Jan Rensel, and Alan Howard. 1998. A New Rotuman Dictionary. An English–Rotuman Wordlist and C. Maxwell Churchward’s Rotuman-English Dictionary. Suva: Institute of Pacific Studies, University of the South Pacific.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Tonga,single,tong1325,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Churchward, Clerk Maxwell. 1959. Tongan Dictionary. Oxford: Oxford University Press.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Quechua,group,NA,langname_contains,Quechua,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Classen, C., Howes, D., & Synnott, A. (2002). Aroma: The cultural history of smell. Routledge.",http://www.shi.or.th/upload/SHI_team/%E0%B8%A8%E0%B8%B8%E0%B8%81%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%B22553/8.aroma.pdf,1,NA,NA
Mota,single,mota1237,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Codrington, R. H., & Palmer, J. (1896). A dictionary of the language of Mota, Sugarloaf Island, Banks' Islands. Society for Promoting Christian Knowledge.","https://books.google.com/books?hl=en&lr=&id=W-MNAAAAYAAJ&oi=fnd&pg=PA1&dq=Codrington,+Robert+H.+%26+John+Palmer.+1896.+A+dictionary+of+the+language+of+Mota,+Sugarloaf+Island,+Banks+Islands.+London:+Society+for+Promoting+Christian+Knowledge.&ots=LnlLXWYoVP&sig=zPS_hONg2ogMo9dRchxsNxtyJ5w",1,NA,"Quoted in François, A. (2021). Olfactory words in northern Vanuatu. The linguistics of olfaction: Typological and diachronic approaches to synchronic diversity, 131, 277."
Hanunoo,single,hanu1241,NA,NA,plant,noun,0,plantcombo,NA,historical thesaurus of english,positive,"Conklin, H. C. (1957). Hanunoo agriculture. A report on an integral system of shifting cultivation in the Philippines. Vol. 2. Hanunoo agriculture. A report on an integral system of shifting cultivation in the Philippines. Vol. 2.",https://www.cabdirect.org/cabdirect/abstract/19591700517,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Hanunoo,single,hanu1241,NA,NA,rice,noun,1,ricecombo,rice,wordnet,positive,"Conklin, H. C. (1957). Hanunoo agriculture. A report on an integral system of shifting cultivation in the Philippines. Vol. 2. Hanunoo agriculture. A report on an integral system of shifting cultivation in the Philippines. Vol. 2.",https://www.cabdirect.org/cabdirect/abstract/19591700517,1,NA,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Polynesian,group,NA,affiliation_contains,Polynesian,sweet potato,compound,1,sweetpotatocombo,NA,NA,positive,"Crowley, T., & Bowern, C. (2010). An introduction to historical linguistics. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=RfpQEAAAQBAJ&oi=fnd&pg=PR15&dq=An+introduction+to+historical+linguistics&ots=PFpYsQiaX-&sig=DLljYbHpVJi7SFtNW32PitnFNUw,1,310,NA
Polynesian,group,NA,affiliation_contains,Polynesian,banana,noun,1,bananacombo,banana,wordnet,positive,"Crowley, T., & Bowern, C. (2010). An introduction to historical linguistics. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=RfpQEAAAQBAJ&oi=fnd&pg=PR15&dq=An+introduction+to+historical+linguistics&ots=PFpYsQiaX-&sig=DLljYbHpVJi7SFtNW32PitnFNUw,1,310,NA
Polynesian,group,NA,affiliation_contains,Polynesian,taro,noun,1,tarocombo,"taro, cocoyam, dasheen, eddo",wordnet,positive,"Crowley, T., & Bowern, C. (2010). An introduction to historical linguistics. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=RfpQEAAAQBAJ&oi=fnd&pg=PR15&dq=An+introduction+to+historical+linguistics&ots=PFpYsQiaX-&sig=DLljYbHpVJi7SFtNW32PitnFNUw,1,310,NA
Paama,single,paam1238,NA,NA,tree,noun,0,treecombo,tree,wordnet,positive,"Crowley, Terry. 1992. A Dictionary of Paamese. Canberra: Pacific Linguistics.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Arabic,group,NA,langname_contains,Arabic,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"DAVID, S., & BARKAT-DEFRADAS, Melissa (2016). CHAPTER NINE A CONTRASTIVE STUDY OF FRENCH AND ARABIC OLFACTORY LEXICONS. Words for Odours: Language Skills and Cultural Insights, 167.",https://books.google.com/books?hl=en&lr=&id=lt_6DAAAQBAJ&oi=fnd&pg=PR5&dq=A+Contrastive+Study+of+French+and+Arabic+Olfactory+Lexicons&ots=pzEQji3cTk&sig=yF2OdHkeKzxst9rMRSHQRK-Uwqg,1,NA,NA
French,group,NA,langname_contains,French,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"DAVID, S., & BARKAT-DEFRADAS, Melissa (2016). CHAPTER NINE A CONTRASTIVE STUDY OF FRENCH AND ARABIC OLFACTORY LEXICONS. Words for Odours: Language Skills and Cultural Insights, 167.",https://books.google.com/books?hl=en&lr=&id=lt_6DAAAQBAJ&oi=fnd&pg=PR5&dq=A+Contrastive+Study+of+French+and+Arabic+Olfactory+Lexicons&ots=pzEQji3cTk&sig=yF2OdHkeKzxst9rMRSHQRK-Uwqg,1,NA,NA
Cantonese,single,yuec1235,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"De Sousa, H. (2011). Changes in the language of perception in Cantonese. The senses and society, 6(1), 38-47.",https://www.tandfonline.com/doi/epdf/10.2752/174589311X12893982233678?needAccess=true,1,NA,NA
!Xóõ,single,huaa1248,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Demolin, D., Hombert, J. M., Sicard, G., & Traill, A. (2011). Odor terminology in! xóõ.",https://hal.univ-grenoble-alpes.fr/hal-00541252/,1,NA,NA
Siwu,single,siwu1238,NA,NA,taste,noun,1,tastecombo,"taste, tasting, gustation",wordnet,positive,"Dingemanse, M., & Majid, A. (2012). The semantic structure of sensory vocabulary in an African language. In Proceedings of the Annual Meeting of the Cognitive Science Society (Vol. 34, No. 34).",https://escholarship.org/content/qt6684b4zd/qt6684b4zd.pdf,1,NA,"Quoted in Speed, L. J., & Majid, A. (2020). Grounding language in the neglected senses of touch, taste, and smell. Cognitive neuropsychology, 37(5-6), 363-392."
Saami,group,NA,langname_contains,Saami,cold,adjective,1,coldcombo,NA,NA,positive,"Dirven, R., & Verspoor, M. (Eds.). (2004). Cognitive exploration of language and linguistics (Vol. 1). John Benjamins Publishing.",https://books.google.com.au/books?hl=en&lr=&id=uZcs6poXkfEC&oi=fnd&pg=PR9&dq=cognitive+explorations+of+language+and+linguistics&ots=VhEe5nRnsS&sig=pb1ozOrbg5fBiX0q58IGZ-r4Tpw&redir_esc=y#v=onepage&q=cognitive%20explorations%20of%20language%20and%20linguistics&f=false,1,128-129,NA
Saami,group,NA,langname_contains,Saami,"to freeze, thaw",verb,1,tofreezecombo,NA,NA,positive,"Dirven, R., & Verspoor, M. (Eds.). (2004). Cognitive exploration of language and linguistics (Vol. 1). John Benjamins Publishing.",https://books.google.com.au/books?hl=en&lr=&id=uZcs6poXkfEC&oi=fnd&pg=PR9&dq=cognitive+explorations+of+language+and+linguistics&ots=VhEe5nRnsS&sig=pb1ozOrbg5fBiX0q58IGZ-r4Tpw&redir_esc=y#v=onepage&q=cognitive%20explorations%20of%20language%20and%20linguistics&f=false,1,128-129,NA
Asian,group,NA,region_equals_to,Asia,rice,noun,1,ricecombo,rice,wordnet,positive,"Dirven, R., & Verspoor, M. (Eds.). (2004). Cognitive exploration of language and linguistics (Vol. 1). John Benjamins Publishing.",https://books.google.com.au/books?hl=en&lr=&id=uZcs6poXkfEC&oi=fnd&pg=PR9&dq=cognitive+explorations+of+language+and+linguistics&ots=VhEe5nRnsS&sig=pb1ozOrbg5fBiX0q58IGZ-r4Tpw&redir_esc=y#v=onepage&q=cognitive%20explorations%20of%20language%20and%20linguistics&f=false,1,134,NA
European,group,NA,region_equals_to,Europe,time,noun,0,timecombo,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow",historical thesaurus of english,positive,"Dirven, R., & Verspoor, M. (Eds.). (2004). Cognitive exploration of language and linguistics (Vol. 1). John Benjamins Publishing.",https://books.google.com.au/books?hl=en&lr=&id=uZcs6poXkfEC&oi=fnd&pg=PR9&dq=cognitive+explorations+of+language+and+linguistics&ots=VhEe5nRnsS&sig=pb1ozOrbg5fBiX0q58IGZ-r4Tpw&redir_esc=y#v=onepage&q=cognitive%20explorations%20of%20language%20and%20linguistics&f=false,1,134,NA
Saami,group,NA,langname_contains,Saami,ice,noun,1,icecombo,ice,wordnet,positive,"Dirven, R., & Verspoor, M. (Eds.). (2004). Cognitive exploration of language and linguistics (Vol. 1). John Benjamins Publishing.",https://books.google.com.au/books?hl=en&lr=&id=uZcs6poXkfEC&oi=fnd&pg=PR9&dq=cognitive+explorations+of+language+and+linguistics&ots=VhEe5nRnsS&sig=pb1ozOrbg5fBiX0q58IGZ-r4Tpw&redir_esc=y#v=onepage&q=cognitive%20explorations%20of%20language%20and%20linguistics&f=false,1,128-129,NA
Saami,group,NA,langname_contains,Saami,reindeer,noun,1,reindeercombo,"caribou, reindeer",wordnet,positive,"Dirven, R., & Verspoor, M. (Eds.). (2004). Cognitive exploration of language and linguistics (Vol. 1). John Benjamins Publishing.",https://books.google.com.au/books?hl=en&lr=&id=uZcs6poXkfEC&oi=fnd&pg=PR9&dq=cognitive+explorations+of+language+and+linguistics&ots=VhEe5nRnsS&sig=pb1ozOrbg5fBiX0q58IGZ-r4Tpw&redir_esc=y#v=onepage&q=cognitive%20explorations%20of%20language%20and%20linguistics&f=false,1,128-129,NA
Saami,group,NA,langname_contains,Saami,snow,noun,1,snowcombo,"snow, snowfall",wordnet,positive,"Dirven, R., & Verspoor, M. (Eds.). (2004). Cognitive exploration of language and linguistics (Vol. 1). John Benjamins Publishing.",https://books.google.com.au/books?hl=en&lr=&id=uZcs6poXkfEC&oi=fnd&pg=PR9&dq=cognitive+explorations+of+language+and+linguistics&ots=VhEe5nRnsS&sig=pb1ozOrbg5fBiX0q58IGZ-r4Tpw&redir_esc=y#v=onepage&q=cognitive%20explorations%20of%20language%20and%20linguistics&f=false,1,128-129,NA
Australian languages,group,NA,area_equals_to,Australia,to spear,verb,1,tospearcombo,NA,NA,positive,"Dixon (1980), The languages of Australia","https://books.google.com/books?hl=en&lr=&id=0b5XGja0HKIC&oi=fnd&pg=PR11&dq=Dixon+(1980),+The+languages+of+Australia&ots=n5CU1Lvg_7&sig=S6w7QUNXJakoejEe2T0wCcQax1o",1,106,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Australian languages,group,NA,area_equals_to,Australia,chrysalis,noun,1,chrysaliscombo,chrysalis,wordnet,positive,"Dixon (1980), The languages of Australia","https://books.google.com/books?hl=en&lr=&id=0b5XGja0HKIC&oi=fnd&pg=PR11&dq=Dixon+(1980),+The+languages+of+Australia&ots=n5CU1Lvg_7&sig=S6w7QUNXJakoejEe2T0wCcQax1o",1,103-104,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Australian languages,group,NA,area_equals_to,Australia,eels,noun,1,eelscombo,eel,wordnet,positive,"Dixon (1980), The languages of Australia","https://books.google.com/books?hl=en&lr=&id=0b5XGja0HKIC&oi=fnd&pg=PR11&dq=Dixon+(1980),+The+languages+of+Australia&ots=n5CU1Lvg_7&sig=S6w7QUNXJakoejEe2T0wCcQax1o",1,103-104,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Australian languages,group,NA,area_equals_to,Australia,emus,noun,1,emuscombo,emu,wordnet,positive,"Dixon (1980), The languages of Australia","https://books.google.com/books?hl=en&lr=&id=0b5XGja0HKIC&oi=fnd&pg=PR11&dq=Dixon+(1980),+The+languages+of+Australia&ots=n5CU1Lvg_7&sig=S6w7QUNXJakoejEe2T0wCcQax1o",1,103-104,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
